nis_code,name_en,name_nl
57000,Tournai-Mouscron,Doornik-Moeskroen
58000,La Louvière,La Louvière
21000,Brussels,Brussel
11000,Antwerp,Antwerpen
12000,Mechelen,Mechelen
13000,Turnhout,Turnhout
71000,Hasselt,Hasselt
72000,Maaseik,Maaseik
73000,Tongeren,Tongeren
41000,Aalst,Aalst
42000,Dendermonde,Dendermonde
43000,Eeklo,Eeklo
44000,Ghent,Gent
45000,Oudenaarde,Oudenaarde
46000,Sint-Niklaas,Sint-Niklaas
23000,Halle-Vilvoorde,Halle-Vilvoorde
24000,Leuven,Leuven
31000,Bruges,Brugge
32000,Diksmuide,Diksmuide
33000,Ypres,Ieper
34000,Kortrijk,Kortrijk
35000,Ostend,Oostende
36000,Roeselare,Roeselare
37000,Tielt,Tielt
38000,Veurne,Veurne
25000,Nivelles,Nijvel
51000,Ath,Aat
52000,Charleroi,Charleroi
53000,Mons,Bergen
54000,Mouscron,Moeskroen
55000,Soignies,Zinnik
56000,Thuin,Thuin
57000,Tournai,Doornik
61000,Huy,Hoei
62000,Liège,Luik
64000,Waremme,Borgworm
63000,Verviers,Verviers
81000,Arlon,Aarlen
82000,Bastogne,Bastenaken
83000,Marche-en-Famenne,Marche-en-Famenne
84000,Neufchâteau,Neufchâteau
85000,Virton,Virton
91000,Dinant,Dinant
92000,Namur,Namen
93000,Philippeville,Philippeville